-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm86_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us      17.920ms         0.66%      17.920ms       2.240ms           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.113ms         0.59%      16.113ms     287.730us           0 b           0 b           0 b           0 b            56            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      15.681ms         0.58%      15.681ms      18.066us           0 b           0 b           0 b           0 b           868            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.727ms         0.54%      14.727ms     490.887us           0 b           0 b           0 b           0 b            30            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      14.724ms         0.54%      14.724ms       2.454ms           0 b           0 b           0 b           0 b             6            --  
                      aten::cudnn_convolution_transpose         0.01%     351.641us         0.01%     791.553us      98.944us      13.647ms         0.50%      13.647ms       1.706ms           0 b           0 b     640.00 Mb     640.00 Mb             8            --  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      13.280ms         0.49%      13.280ms       1.660ms           0 b           0 b           0 b           0 b             8            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.497ms         0.46%      12.497ms     347.151us           0 b           0 b           0 b           0 b            36            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      10.147ms         0.37%      10.147ms     845.619us           0 b           0 b           0 b           0 b            12            --  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.893ms         0.36%       9.893ms     824.443us           0 b           0 b           0 b           0 b            12            --  
void cudnn::cnn::dgrad2d_grouped_direct_kernel<__hal...         0.00%       0.000us         0.00%       0.000us       0.000us       9.864ms         0.36%       9.864ms       1.644ms           0 b           0 b           0 b           0 b             6            --  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us       9.432ms         0.35%       9.432ms     786.032us           0 b           0 b           0 b           0 b            12            --  
                                ampere_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us       9.105ms         0.33%       9.105ms     758.755us           0 b           0 b           0 b           0 b            12            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.764ms         0.32%       8.764ms     730.312us           0 b           0 b           0 b           0 b            12            --  
                           aten::_softmax_backward_data         0.01%     635.018us         0.02%       1.269ms     105.784us       8.663ms         0.32%      17.427ms       1.452ms           0 b           0 b     648.00 Mb           0 b            12            --  
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       8.644ms         0.32%       8.644ms     864.387us           0 b           0 b           0 b           0 b            10            --  
                                              aten::div         0.03%       1.445ms         0.16%       8.507ms     137.216us       7.930ms         0.29%       7.930ms     127.902us           0 b           0 b       1.05 Gb       1.05 Gb            62            --  
         ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nt         0.00%       0.000us         0.00%       0.000us       0.000us       7.687ms         0.28%       7.687ms     295.669us           0 b           0 b           0 b           0 b            26            --  
                                aten::_foreach_addcdiv_         0.03%       1.659ms         0.04%       1.939ms     969.278us       7.233ms         0.27%       7.233ms       3.616ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       7.233ms         0.27%       7.233ms     401.817us           0 b           0 b           0 b           0 b            18            --  
void cudnn::cnn::reduce_wgrad_nchw_helper<float, __h...         0.00%       0.000us         0.00%       0.000us       0.000us       6.256ms         0.23%       6.256ms     521.368us           0 b           0 b           0 b           0 b            12            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       6.078ms         0.22%       6.078ms     759.784us           0 b           0 b           0 b           0 b             8            --  
void cudnn::cnn::conv2d_grouped_direct_kernel<false,...         0.00%       0.000us         0.00%       0.000us       0.000us       6.044ms         0.22%       6.044ms       1.511ms           0 b           0 b           0 b           0 b             4            --  
                                   aten::_foreach_lerp_         0.01%     336.103us         0.04%       1.968ms     983.959us       5.754ms         0.21%      11.492ms       5.746ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.754ms         0.21%       5.754ms     410.985us           0 b           0 b           0 b           0 b            14            --  
                                aten::_foreach_addcmul_         0.03%       1.468ms         0.11%       5.863ms       2.932ms       5.564ms         0.20%      11.120ms       5.560ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.564ms         0.20%       5.564ms     309.117us           0 b           0 b           0 b           0 b            18            --  
                                         aten::_softmax         0.00%     226.400us         0.02%       1.162ms      96.852us       5.207ms         0.19%       5.207ms     433.899us           0 b           0 b     649.00 Mb     649.00 Mb            12            --  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       5.163ms         0.19%       5.163ms     516.323us           0 b           0 b           0 b           0 b            10            --  
                                aten::_conv_depthwise2d         0.00%     114.582us         0.00%     253.993us      42.332us       4.946ms         0.18%       4.946ms     824.331us           0 b           0 b     144.00 Mb           0 b             6            --  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us       4.946ms         0.18%       4.946ms     824.331us           0 b           0 b           0 b           0 b             6            --  
         ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us       4.920ms         0.18%       4.920ms     410.008us           0 b           0 b           0 b           0 b            12            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.760ms         0.17%       4.760ms       5.587us           0 b           0 b           0 b           0 b           852            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.721ms         0.17%       4.721ms     181.591us           0 b           0 b           0 b           0 b            26            --  
void dgrad2d_c1_k1_nhwc_kernel<__half, float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us       4.672ms         0.17%       4.672ms       1.168ms           0 b           0 b           0 b           0 b             4            --  
                                       aten::nan_to_num         0.10%       5.154ms         0.19%      10.214ms      12.277us       3.997ms         0.15%       3.997ms       4.804us           0 b           0 b           0 b           0 b           832            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.997ms         0.15%       3.997ms       4.804us           0 b           0 b           0 b           0 b           832            --  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us       3.963ms         0.15%       3.963ms       1.982ms           0 b           0 b           0 b           0 b             2            --  
                                    aten::_foreach_mul_         0.03%       1.371ms         0.19%      10.055ms       5.027ms       3.883ms         0.14%       7.755ms       3.878ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.883ms         0.14%       3.883ms     485.360us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_foreach_add_         0.05%       2.625ms         0.07%       3.565ms     891.191us       3.824ms         0.14%       3.824ms     955.944us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.824ms         0.14%       3.824ms     477.972us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_foreach_div_         0.03%       1.376ms         0.21%      10.907ms       5.454ms       3.806ms         0.14%       7.597ms       3.799ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.806ms         0.14%       3.806ms     380.598us           0 b           0 b           0 b           0 b            10            --  
                                    aten::_foreach_sqrt         0.05%       2.434ms         0.98%      51.814ms      25.907ms       3.773ms         0.14%       7.522ms       3.761ms           0 b           0 b     427.87 Mb           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.773ms         0.14%       3.773ms     269.515us           0 b           0 b           0 b           0 b            14            --  
sm80_xmma_wgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us       3.613ms         0.13%       3.613ms       1.807ms           0 b           0 b           0 b           0 b             2            --  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       3.158ms         0.12%       3.158ms     315.814us           0 b           0 b           0 b           0 b            10            --  
sm80_xmma_dgrad_implicit_gemm_indexed_f16f16_f16f32_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.996ms         0.11%       2.996ms     299.619us           0 b           0 b           0 b           0 b            10            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.988ms         0.11%       2.988ms     248.987us           0 b           0 b           0 b           0 b            12            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.937ms         0.11%       2.937ms     293.674us           0 b           0 b           0 b           0 b            10            --  
void cudnn::cnn::conv2d_grouped_direct_kernel<false,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.534ms         0.09%       2.534ms     422.293us           0 b           0 b           0 b           0 b             6            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_f16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.406ms         0.09%       2.406ms       1.203ms           0 b           0 b           0 b           0 b             2            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 5.282s
Self CUDA time total: 2.726s
